id;name;symbol;cover_img_url
1;Nauru Angola;payment;Intelligent incentivize Sausages
2;quantifying;Burundi orange Principal;invoice
3;black Baby Home Loan Account;Tunisian Dinar;olive
4;Customer Australia;XML;New Zealand Dollar
5;pink pink Rustic;Oval Canyon;database
6;navigating e-business;Handcrafted Avon;syndicate
7;New Jersey Soft;actuating;SQL Consultant Assurance
8;Generic Unbranded Cotton Pants;Jewelery overriding Integration;RSS
9;wireless Rubber;Springs;Alley Executive
10;Car;scale Supervisor monetize;Gorgeous Soft Chips quantify
