id;name;symbol;description;cover_img_url
1;New Taiwan Dollar connecting Fiji Dollar;seize;infomediaries holistic;Intelligent
2;embrace;open-source;protocol;Sausages
3;niches Facilitator navigate;array Executive Configuration;Guarani Awesome;deposit compressing
4;Rubber Refined Frozen Shoes;deliverables;vortals encoding Toys;software
5;cyan override;EXE;Executive Refined Concrete;Table Austria fresh-thinking
6;Handcrafted;exuding;Sleek Quality neural;Soap
7;Money Market Account;Small Investment Account online;copy withdrawal;generate Incredible
8;Turkey;European Unit of Account 17(E.U.A.-17) structure;New Zealand Dollar;Intelligent Steel Gloves green
9;multimedia architect THX;compressing;reboot Rhode Island;Licensed Rubber Granite
10;Orchestrator Dominican Peso Ergonomic Metal Keyboard;Lek application;Texas;array Metal Associate
