id;name;symbol;cover_img_url
1;Virtual;transmitter Seychelles Rupee;AGP Tools New Hampshire
2;4th generation groupware;Expanded open-source capability;TCP blue Representative
3;web-readiness Hat e-markets;Awesome;generate solution-oriented Specialist
4;Avon maximize;Dominica;application
5;open-source Clothing;fuchsia Generic Granite Table;Concrete Brand
6;Toys Home distributed;Universal Executive;override South Dakota
7;infrastructures;engineer capacity;Oregon
8;Identity;schemas program;Grocery
9;azure;Direct multi-byte;New York Towels
10;Pants;asynchronous Orchestrator;Pennsylvania encryption payment
